Event,time_start_sheath,time_end_sheath,time_start_plasmasheet,time_start_plasmasheet,smooth_turbulent,BL,dawndusk,Inbound,crossing_magnetopause,crossing_ps,comments
1,2016-02-13/05:03:20,2016-02-13/05:23:20,2016-02-13/05:53:20,2016-02-13/06:13:20,,0,Dawnside,1,2016-02-13/05:43:20,2016-02-13/05:43:20,
2,2016-02-13/22:32:00,2016-02-13/22:52:00,2016-02-13/20:57:30,2016-02-13/21:17:30,smooth,1,Dawnside,0,2016-02-13/22:22:00,2016-02-13/21:27:30,
3,2016-02-03/04:53:30,2016-02-03/05:13:30,2016-02-03/06:17:30,2016-02-03/06:37:30,,0,Dawnside,1,2016-02-03/05:33:30,2016-02-03/06:07:30,
4,2016-02-03/21:10:30,2016-02-03/21:30:30,2016-02-03/20:01:00,2016-02-03/20:21:00,smooth,0,Dawnside,0,2016-02-03/21:00:30,2016-02-03/20:31:00,
5,2016-02-23/02:03:40,2016-02-23/02:23:40,2016-02-23/02:53:40,2016-02-23/03:13:40,,0,Dawnside,1,2016-02-23/02:43:40,2016-02-23/02:43:40,
6,2016-02-23/19:53:30,2016-02-23/20:13:30,2016-02-23/19:13:30,2016-02-23/19:33:30,,0,Dawnside,0,2016-02-23/19:43:30,2016-02-23/19:43:30,(maybe revisit - there is some BL)
7,2016-03-14/18:23:00,2016-03-14/18:43:00,2016-03-14/16:52,2016-03-14/17:12,,1,Dawnside,0,2016-03-14/18:13:00,2016-03-14/17:22,
8,2017-05-01/16:03:00,2017-05-01/16:23:00,2017-05-01/18:02:45,2017-05-01/18:22:45,,1,Dawnside,1,2017-05-01/16:43:00,2017-05-01/17:52:45,difficult to identify boundary
9,2017-05-17/11:17:30,2017-05-17/11:37:30,2017-05-17/10:20:20,2017-05-17/10:40:20,,0,Dawnside,0,2017-05-17/11:07:30,2017-05-17/10:50:20,
10,2017-05-17/20:08:40,2017-05-17/20:28:40,2017-05-17/17:21:20,2017-05-17/17:41:20,,1,Dawnside,0,2017-05-17/19:58:40,2017-05-17/17:51:20,
11,2017-05-18/04:21:00,2017-05-18/04:41:00,2017-05-18/05:30:30,2017-05-18/05:50:30,,0,Dawnside,1,2017-05-18/05:01:00,2017-05-18/05:20:30,
12,2017-05-20/09:16:30,2017-05-20/09:36:30,2017-05-20/10:11:50,2017-05-20/10:31:50,,0,Dawnside,1,2017-05-20/09:56:30,2017-05-20/10:01:50,
13,2016-11-11/08:33:30,2016-11-11/08:53:30,2016-11-11/07:27:30,2016-11-11/07:47:30,,0,Duskside,0,2016-11-11/08:23:30,2016-11-11/07:57:30,
14,2016-11-11/18:36:00,2016-11-11/18:56:00,2016-11-11/19:41:00,2016-11-11/20:01:00,,0,Duskside,1,2016-11-11/19:16:00,2016-11-11/19:31:00,
15,2016-11-03/08:37:00,2016-11-03/08:57:00,2016-11-03/07:26:00,2016-11-03/07:46:00,,0,Duskside,0,2016-11-03/08:27:00,2016-11-03/07:56:00,
16,2016-11-03/14:23:00,2016-11-03/14:43:00,2016-11-03/15:17:10,2016-11-03/15:37:10,,0,Duskside,1,2016-11-03/15:03:00,2016-11-03/15:07:10,
17,2016-10-27/10:12:20,2016-10-27/10:32:20,2016-10-27/09:06:00,2016-10-27/09:26:00,,1,Duskside,0,2016-10-27/10:02:20,2016-10-27/09:36:00,
18,2016-10-27/17:00:00,2016-10-27/17:20:00,2016-10-27/18:25:00,2016-10-27/18:45:00,,1,Duskside,1,2016-10-27/17:40:00,2016-10-27/18:15:00,
19,2016-10-10/16:10:00,2016-10-10/16:30:00,2016-10-10/14:19:20,2016-10-10/14:39:20,,1,Duskside,0,2016-10-10/16:00:00,2016-10-10/14:49:20,
20,2016-09-30/17:22:00,2016-09-30/17:42:00,2016-09-30/16:00:00,2016-09-30/16:20:00,,0,Duskside,0,2016-09-30/17:12:00,2016-09-30/16:30:00,
21,2016-09-30/17:31:40,2016-09-30/17:51:40,2016-09-30/18:58:30,2016-09-30/19:18:30,,0,Duskside,1,2016-09-30/18:11:40,2016-09-30/18:48:30,
22,2016-09-19/17:09:30,2016-09-19/17:29:30,2016-09-19/15:39:00,2016-09-19/15:59:00,,2,Duskside,0,2016-09-19/16:59:30,2016-09-19/16:09:00,This doesn't look right - looks like BL
23,2016-09-19/20:40:10,2016-09-19/21:00:10,2016-09-19/21:54:50,2016-09-19/22:14:50,,1,Duskside,1,2016-09-19/21:20:10,2016-09-19/21:44:50,"Colder plasma in PS. ""Cold dense PS?"""
24,2017-09-29/12:11:20,2017-09-29/12:31:20,2017-09-29/13:28:40,2017-09-29/13:48:40,,1,Duskside,1,2017-09-29/12:51:20,2017-09-29/13:18:40,
25,2017-09-25/09:48:30,2017-09-25/10:08:30,2017-09-25/08:54:00,2017-09-25/09:14:00,,2,Duskside,0,2017-09-25/09:38:30,2017-09-25/09:24:00,Doesn't look right. Looks like long BL
26,2017-09-19/16:12:00,2017-09-19/16:32:00,2017-09-19/13:28:00,2017-09-19/13:48:00,,1,Duskside,0,2017-09-19/16:02:00,2017-09-19/13:58:00,
27,2017-09-14/02:29:40,2017-09-14/02:49:40,2017-09-14/00:46:40,2017-09-14/01:06:40,,1,Duskside,0,2017-09-14/02:19:40,2017-09-14/01:16:40,
28,2017-09-14/06:25:50,2017-09-14/06:45:50,2017-09-14/07:46:00,2017-09-14/08:06:00,,0,Duskside,1,2017-09-14/07:05:50,2017-09-14/07:36:00,
29,2017-09-14/09:49:00,2017-09-14/10:09:00,2017-09-14/08:31:20,2017-09-14/08:51:20,,0,Duskside,0,2017-09-14/09:39:00,2017-09-14/09:01:20,
30,2017-08-31/03:38:40,2017-08-31/03:58:40,2017-08-31/01:24:00,2017-08-31/01:44:00,,1,Duskside,0,2017-08-31/03:28:40,2017-08-31/01:54:00,